idR,telephone,mail,facebook,website
1,+33 2 38 53 78 02,,,http://www.le-dream-s-coffee.com
4,,,,https://www.kfc.fr/nos-restaurants/kfc-orleans-olivet
5,+33 238622462,,,https://www.creperiebretonneorleans.com/
6,+33238533987,,,https://lapetitefolie-orleans.fr/
7,+33 238688769,,,
8,+33 238535166,,,
9,+33 954252575,,,https://www.pastels-restaurant.com/
10,,,,http://www.laterrasse45.com
12,,,,https://www.crous-orleans-tours.fr/restaurant/lanatide/
13,+33236172134,,,
15,+33 2 38 77 99 24,,,https://www.restaurant-siams.fr/le-restaurant/
17,+33 2 36 17 04 34,,,https://www.polpettone-restaurant.com/
18,+33642999182,,,
20,+33 238832140,,,https://www.lasoledoree.fr/
21,+33238777015,,,
22,+33 9 82 46 40 49,,,
23,+33238627778,,,
24,+33 2 38 88 64 20,,,https://www.lesquatremains.com/
25,+33 2 38 53 19 80,,,https://www.texmex-orleans.fr/
30,+33 6 07 68 57 73,,,
31,+33 6 67 95 00 65,,,
34,+33 2 38 75 80 11,,,https://ohterroir-orleans.fr
35,+33 2 38 21 72 90,,,
36,+33 2 38 83 95 86,,,
37,+33 238721110,,,https://www.restaurantmosaique.fr/
38,+33 7 88 50 58 10,,,
39,+33675453542,,,http://www.javapop.fr/
41,+339 61 64 36 25,,,
44,+33 238831650,,,https://le-orleans-bar.eatbu.com/?lang=fr
45,+332 38 84 44 04,,https://www.facebook.com/orleanskantinn,
46,+33 7 87 97 95 24,,,https://www.restaurant-coreen-orleans.fr/
47,+33 2 38 53 28 61,,,https://lebistrot-orleans.fr/
49,+33 2 38 53 49 20,,,
50,+33238689515,,,https://www.phood.fr/
51,+332 38 54 36 36,,,https://www.restaurant-notre-cher-et-tendre.com/
52,+33 2 38 77 46 41,,,https://lassiette-gourmande.eatbu.com
55,+33 238700811,,,https://www.bio-tea-flor.fr/
56,+33623530647,,,
57,+33236569040,,,https://lartistic.fr/
58,+33238532477,,,
59,+33 2 38 77 08 06,,,
60,+33 2 38 54 95 45,,,http://lerajisthan.com/
61,+33238637146,,,https://lesburgersduboucher.fr/
63,+33 2 38 54 37 84,,,
64,+33 2 36 11 19 72,,,
65,+33 677674891,,,
66,+33238536945,,,
67,+33234505671,,,
68,+33 2 38 53 38 97,,,https://www.audoncamillo45.com
69,+33238662562,,,
70,+33238493000,,,https://www.parcfloraldelasource.com/se-restaurer/parasols-parc-petite-restauration/
71,+33 238531645,,,https://www.restaurantgric.fr/
74,+33 2 38 71 00 59,,,
76,,,,https://empreinte-hotel.com/fr/espace-lounge.html
77,+33238531860,,,https://lespissenlits-orleans.fr/
80,+33238889323,,,http://www.bateaulavoir-orleans.fr
81,+33 238841291,,,https://latelierduburgerorleans.fr/
82,+33 9 72 98 00 32,,,
83,,,,https://obellagio.fr/
84,+33 965166409,,,
85,,,,https://food-factory-restaurant-orleans.eatbu.com/
87,,,,https://nachos.fr
88,+33 2 38 54 08 32,,,
90,+33 238536614,,,http://www.lelievregourmand.com
93,+33 238544765,,,https://www.oceaniahotels.com/escale-oceania-orleans/
95,+33 987750757,,,https://only-tacos-orleans.eatbu.com/
98,+33234502943,,,https://kali-restaurant-orleans.eatbu.com
99,,,,https://www.lejardindupavillon.fr/
100,+33 2 38 73 68 32,,,
102,+33 238540353,,,
105,+33 238533877,,,https://lebrindezinc.fr/
107,+33 238735311,,,https://www.ma-dam.fr/
109,+33 238542517,,,
111,+33 665400912,,,https://allo-pizza-orleans.fr/
113,+33 238628914,,,https://www.restaurant-le-tonnelier.com/
114,+33967579076,,,https://www.restaurant-lescalier-orleans.fr/
116,,,,https://gardenicecafe.com/
117,+33 238532934,,,
118,,,,http://www.laboiteapizza.fr
119,+33238687205,,,
121,+33 238705417,,,
123,+33 673507240,,,https://www.osare-etc.fr/
124,+33 238681071,,,
125,+332 38 62 46 91,,,
127,+33 238513131,,,https://brasseriemadeleine-orleans.fr/
130,+33 2 38 53 85 49,,,
134,+33 238535487,,,https://hotel-abeille.com/
135,+332 59 16 02 04,,,https://www.bioburger.fr/restaurant-bio/orleans-chatelet/
136,+33 6 28 53 70 28,,,https://www.chez-fa.fr/
137,+33 6 70 04 58 72,,,
138,+33 2 38 54 17 39,,,
139,+332 38 83 24 83,,,https://jmbarorleans.wixsite.com/website
140,+33238149713,,,
141,+332 38 42 73 93,,,https://comptoirorleans.com/
143,+33 2 38 53 51 83,,,
144,+332 38 53 39 63,,,
145,+33 2 38 21 84 30,,,https://restaurants.subway.com/france/orleans/5-avenue-de-paris
146,+33 2 38 81 05 98,,,
147,,,,https://www.speedrabbitpizza.com/
149,+33603341750,,,
150,+33 2 18 88 94 32,,,https://lepharestlouis.com/orleans/
151,+33611187444,,,
152,+33 238 53 25 86,,,
154,+33 9 88 52 78 86,,,https://www.instagram.com/joose_club/
156,,,,https://www.clubcafe.fr/
157,+33 660366957,,,https://kandji-food.fr/
160,+33 2 38 63 13 85,,,
161,+33 9 61 69 12 74,,,https://sluurpit.com/
162,,,,https://solopalma.fr/
163,+33 2 38 53 12 21,,,https://www.paul-et-juliette.fr/
164,,,,https://www.cafebonnepioche.com/
165,+33 673845145,,,
166,+33 238536091,,,https://www.tajmahal-orleans.fr/
167,+332 38 53 43 48,,,https://optitmezze.fr/
168,+33 983547568,,,
169,+33 2 38 77 17 90,,,https://leptitgavroche.fr/
170,+33 6 61 84 40 70,,,
174,,,,https://hibiscus-restaurant.com
175,+33 238683595,,,https://aubouillon.restaurant/
177,+33 2 38 53 45 98,,,
178,+33 2 38 53 26 59,,,
179,+33238533943,,,
183,+33952178308,,,
186,+33 2 38 53 30 24,,,https://odelicesdescimes.eatbu.com/?lang=fr
189,,,,https://le108.org
190,+33238542095,,,https://canotto.fr/
191,+33238437560,,,https://www.laconcurrence-cafe-bistrot.fr/
193,,,,https://www.crous-orleans-tours.fr/restaurant/le-dundee-2/
194,+33 238624389,,,
198,+33 649737753,,,
199,+33 238420394,,,
200,,,,https://www.facebook.com/atelierbricolagecollaboratiforleans
201,+33 2 38 83 21 16,,,https://www.columbuscafe.com/boutique/orleans-place-du-martrois/
202,+33 252565960,,,
203,,,,https://www.crous-orleans-tours.fr/restaurant/le-bistrot/
205,+33 238540882,,,https://www.facebook.com/tantejeanne45/
206,+33 2 38 15 93 58,,,
207,+33980653002,,,https://ogrilo.fr/
209,+33 2 38 53 71 12,,,https://www.chezdionysos.fr/
210,+332 19 00 39 30,,,http://gokuki.fr/
211,+33662067802,,,https://lepetitgone.com/
215,+33 238532992,,,https://www.restaurant-gastronomique-orleans.fr/
216,+33 238 84 21 06,,,https://lachopine.fr/notre-carte/
217,+33 238491521,,,
219,+33984307405,,,https://www.af-orleans.fr/
220,+33 9 52 38 47 37,,,https://thaifoodorleans.fr/
221,+332 38 73 20 78,,,
222,+33  2 38 70 07 80,,,https://petitesaison.fr/
224,+33 238535754,,,https://www.restaurant-lachancellerie.fr/
225,,,,https://frenchcoffeeshop.com/shop/orleans
228,+33 2 38 52 12 10,,,https://www.paul.fr/
229,+33 238779575,,,
230,,,,http://www.eldjazairrestaurant.fr
234,,,,https://latelier-papilles.com/
235,+33 2 36 47 16 47,,,
237,+33 2 38 62 39 54,,,
239,+33 2 38 53 42 64,,,
240,+33 238535887,,,https://mister-tacos-orleans.business.site/
241,,,,https://etna-pizzeria.com/
242,+33238513412,,,
243,,,,https://www.instagram.com/neko.orleans/
248,+33 238532981,,,
249,+33 2 34 32 82 29,,,
250,+33 238687723,,,https://plaisirpho.fr/
251,+33 238435353,,,https://www.dominos.fr/magasin/orleans-centre_45000
252,+33 2 38 84 18 30,,,
253,+33 238521195,,,
254,,,,http://pizzeriadinapoli.fr
255,+339 87 01 68 28,,,https://restaurants.bnwburger.com/
256,+339 62 06 39 13,,,https://flammeviet.metro.rest/
257,+339 87 75 07 57,,,
258,+33 9 88 48 27 47,,,https://chez-antoinette.com/
260,+33 7 83 04 53 17,,,
261,+33 2 38 68 93 59,,,https://comptoirmamiebigoude.com/restaurant-breton-orleans
262,+33 2 38 73 91 88,,,https://m.facebook.com/chezlesjacquin
264,,,,http://www.bureau-tabac-orleans.fr
266,+33 238810888,,,https://www.halleschatelet.fr/commerces/greg/
267,,,,https://www.crous-orleans-tours.fr/restaurant/pizzeria-le-borsalino/
269,+33238536606,,,
271,+33 9 86 63 91 38,,,https://www.bluedevils.fr
272,+33 2 38 15 65 19,,,https://www.bagelstein.com/restaurant/orleans-dilliers/
275,+33238683573,,,https://www.lechienfouorleans.fr/
276,+332 38 73 22 75,,,
277,+33238681538,,,https://www.lamangeoire-orleans.com/
278,+33 238721572,,,
279,+332 38 24 51 18,,,
281,+33 2 18 88 94 74,,,https://www.wellintownpub.com/
282,+33 238544742,,,https://verdivin.com/
283,+33 238627935,,,
284,+33 2 34 32 58 76,,,
285,+33 238533200,,,http://www.groupedegenne.com/restaurants-orleans/la-renaissance-orleans
286,+33 238772667,,,https://www.ladariole.fr/
288,+33238420831,,,
289,,,,https://www.narenj.fr/
290,+33 2 38 62 91 09,,,https://www.aubureau-orleans.fr/
291,+33 2 38 54 42 05,,,
293,+33 236176568,,,https://www.boutique-lapetiteitalie.com
295,+339 73 88 96 44,,,https://check.fr/ville/orleans/etablissement/little-delirium/
296,+33 9 82 20 55 34,,,https://www.lartenburger.fr/
297,+33 238689851,,,
298,+33 238521250,,,https://www.lechezmoi.com/
299,+33238530729,,,https://www.le-rive-droite.com/
300,+33 238545990,,,
301,+33 987532629,,,
304,+33 238716158,,,https://www.studio16orleans.com/
305,+33 9 54 33 49 25,,,
306,+33 9 81 87 96 79,,,https://al-medina-livraison-couscous-a-domicile-sur-place-ou.business.site/
307,+33 238837291,,,https://sushininja.fr/
309,,,,https://www.sushishop.fr/fr/restaurant/orleans-royale
310,+33 238772225,,,
311,+339 73 27 07 21,,,
312,+33 238545383,,,https://www.facebook.com/laPetiteAbsinthe/
313,+332 38 42 28 28,,,
314,+33 238687714,,,https://www.restaurant-jean-leon.fr/
316,+33 238539195,,,
317,,,,http://www.opoudrier.com/
318,+33 238544020,,,
319,+33 752869623,,,
320,+33 2 38 56 55 40,,,https://www.restaurants.mcdonalds.fr/mcdonalds-orleans-sud-rn20
321,+33238839776,,,
323,+33 2 38 54 65 70,,,
324,+33238914106,,,https://www.orleanssession.fr/pubs-orleannais/le-manoir/
325,+33 238534409,,,https://www.lesfilsamaman.com/restaurants/orleans/
327,+33 238421500,,,https://lemartroi.fr/
328,+33238451345,,,
330,,,,https://www.crous-orleans-tours.fr/restaurant/le-forum/
331,+33238817379,,,https://lorientale-restaurant-orleans.metro.bar
332,+33 2 38 54 05 16,,,https://www.lecole-des-sales-gosses.com/
333,+33 7 68 65 48 86,,,
334,+33 238831096,,,https://dundee-resto-pub.business.site/
336,+33 238798533,,,
338,+332 38 54 23 11,,,
339,+33 2 38 600 600,,,https://www.la-boucherie.fr/restaurants/orleans-olivet-45/
340,+33 238844119,,,https://restaurants.pokawa.com/poke-bowl-orleans/
342,+33 2 38 43 81 73,,,https://taverne-brasserie.fr/
343,+33695213358,,,https://le-mangal-orleans.eatbu.com
345,+33 9 66 92 12 32,,,
347,+33 9 88 49 54 14,,,https://www.facebook.com/moustacheorleans/
348,+33 238661266,,,
349,+33 238626365,,,https://cafedesbeauxarts.fr/
351,+33 2 38 54 13 67,,,https://shaggybizzon.wixsite.com/pizzerialitalien/
354,+33 2 38 53 63 48,,,https://www.restaurant-le-lift.com/
355,+33 238629466,,,
357,,,,https://www.kimiko-orleans.fr/
358,+33967275069,,,
359,+33950020997,,,https://m.facebook.com/bonnepiocheorleans
360,,,,https://papilles-en-herbes.eatbu.com/
362,+33 2 38 62 83 79,,,
366,+33 2 38 54 22 58,,,https://www.lesdixfuts.fr/accueil-cave-bar-biere/orleans-le-shop-bieres-artisanales/
367,+33 7 84 94 66 46,,,
368,+33238620202,,,http://mijanaresto.com
369,+33 2 38 42 77 59,,,http://www.restaurant-la-cantine.com
371,+33 238543080,,,https://magarestaurant.fr/
373,+33 2 38 53 84 29,,,
374,+33 7 49 16 22 84,,,https://www.lalchimie-orleans.com/
375,+33238786324,,,https://www.pizzaohterroir.com/
376,+33953535505,,,
378,+33 2 38 53 91 46,,,https://le-xaintrailles.edan.io/
379,+33 238700831,,,https://www.pokesushi.fr/
381,+33 238817955,,,
382,+33 2 38 44 06 40,,,
